production_date,gas_sales,oil_sales,pf_fuel,vent_flare,water,field_remarks,source_file
2019-03-03,12665,429,197,22,15,"Unable to make visit to HIA547C yesterday due to weather . Gly-tech coming out 
today to get samples . Also seatrax coming out today to work on B-platform Crane 
radiator .",2019-03-04__Arena Partner DPR.pdf
2019-03-04,10681,340,170,21,15,"Archrock on location doing PM's . Linear also on location replacing gai-tronic's 
speacker .Wireline should be here sometime this morning .",2019-03-05__Arena Partner DPR.pdf
2019-03-05,5978,230,119,22,8,"Made crew change, Wireline here working on B1, HI547C C2 shut in at 9pm last 
night, mechanic here.",2019-03-06__Arena Partner DPR.pdf
2019-03-06,11771,393,226,29,14,"Made visit to HI547C, Unloaded boat at HI547C, Wireline had no luck getting down 
in B1 well, working with mechanic to line up what we need for FWP engine swap.",2019-03-07__Arena Partner DPR.pdf
2019-03-07,13015,438,140,27,16,"Made visit to HI547C, Changed out actuator on HI547C test sep oil, Sent wireline to 
EC328.",2019-03-08__Arena Partner DPR.pdf
2019-03-08,10552,377,143,26,14,"Made visit to HI 547
C, HI 547
C shut in at 5
am due to LSH in instrument gas scrubber, 
Changed out the choke on the C 2 well, while pressuring testing the choke had 2
 
flanges on the FA 3 started leaking, have a construction crew coming out tomorrow
morning to change out flange rings.
Pulled monthly ESD at HI 547
B.",2019-03-09__Arena Partner DPR.pdf
2019-03-09,0,0,0,0,0,"Made visit to HI547C, Unloaded crew boat with construction crew & tool box, BOL 
HI547B at 8am, Loaded construction hands on MV Odyssea Valor for HI547C to 
work on C2 flowline.",2019-03-10__Arena Partner DPR.pdf
2019-03-10,0,0,0,0,0,"Made visit to HI547C, Had no luck pressure testing C2 flowline, Lined up material to 
fix drain line on HI547B.",2019-03-11__Arena Partner DPR.pdf
2019-03-11,0,0,0,0,0,"Made visit to HI 547-C,",2019-03-12__Arena Partner DPR.pdf
2019-03-12,8567,367,92,26,8,"Made visit to HI547C, Got good pressure test on C2 flowline, Installed new header 
valve on C2 test header, Back loaded the 3 old header vlaves from C2 flowline, 
backloaded the test pump and sent all in to Cameron, BOL C2 at 6:30pm.",2019-03-13__Arena Partner DPR.pdf
2019-03-13,13188,393,132,28,10,"No visit to HI547C due to weather, Pulled old FWP but wind to high to use crane to 
drop new one, had construction do some hotbolting.",2019-03-14__Arena Partner DPR.pdf
2019-03-15,12720,386,167,27,10,"No visit to HI547B due to weather, QCP did some hot bolting, Axis working on FWP, 
QCP worked on drain piping.",2019-03-16__Arena Partner DPR.pdf
2019-03-16,12716,455,156,27,7,"No visit to HI547C due to weather, Axis working on FWP, QCP finished running drain 
line from compressor skid,",2019-03-17__Arena Partner DPR.pdf
2019-03-17,12510,443,147,28,16,"Made visit to HI547C, Ran pig from HI547C in the KAH-9010, Axis working on the 
FWP, unloaded boat & took on H20.",2019-03-18__Arena Partner DPR.pdf
2019-03-18,13403,0,120,27,16,"Made visit to HI547C, Received waiver extension for FWP.",2019-03-19__Arena Partner DPR.pdf
2019-03-19,12665,440,101,23,16,Crew Change day,2019-03-20__Arena Partner DPR.pdf
2019-03-20,12628,430,114,23,17,"made visit to C-platform and did daily check and took shake out . Linear on location 
. Clariant lined up to come out to look at chemical rates and proper injection rates",2019-03-21__Arena Partner DPR.pdf
2019-03-21,12272,414,122,22,15,"Axis on location to install exhaust for water pump. H.I.S finished up quarterly nav-
aids and gas inspection at B-C-platforms . HI.S also completed deficiency list at C 
and B - platforms . AMI finished up meter calibration and turbine swap at C-b 
platforms . Clariant adjusting chemical rates at C-platform .",2019-03-22__Arena Partner DPR.pdf
2019-03-22,12035,391,126,23,15,"Construction finished up firewater pump yesterday and its currently back in service 
. We shut in today to o some hot work .",2019-03-23__Arena Partner DPR.pdf
2019-03-23,7742,154,61,24,9,"Construction on board curently working on setting up to remove rental diesel 
generator . downtime due to construction work . Unable to visit C-Platform due to 
weather .",2019-03-24__Arena Partner DPR.pdf
2019-03-24,12194,400,116,24,14,"Made visit to Cplatform . Construction finished up new diesel install & cat walk by 
Small test sep. yesterday . Clariant also pulled samples at C-platform .",2019-03-25__Arena Partner DPR.pdf
2019-03-25,4727,143,46,12,6,"Made visit to C-platform and checked sand trap and pulled shakeouts . Construction 
is currently setting up to demobilizing   .",2019-03-26__Arena Partner DPR.pdf
2019-03-26,12746,388,99,23,16,"Made visit to C-Platform yesterday . Construction finished up yesterday and we 
backloaded equipment and personnel .",2019-03-27__Arena Partner DPR.pdf
2019-03-27,12722,426,89,23,16,"Made visit to C-platform and did daily checks . Also panther completed oil proving 
yesterday . patrick lined up to come out today to work on SCADA computer.",2019-03-28__Arena Partner DPR.pdf
2019-03-28,12430,384,83,23,16,"Made visit to C-Platform yesterday and pulled shake out . M/V Odyssea valor will 
be on location sometime today with groceries and supplies .",2019-03-29__Arena Partner DPR.pdf
2019-03-29,12538,365,112,23,16,"M/V Odyssea arrived yesterday with groceries and supplies . Made visit to C-
Platform yesterday . we are currently cleaning platform with pressure washer .",2019-03-30__Arena Partner DPR.pdf
2019-03-30,12508,328,116,23,16,Made visit to C-platform yesterday . Started pressure washing production deck.,2019-03-31__Arena Partner DPR.pdf
2019-03-31,12259,380,119,23,16,"made visit to C-Platform and did daily checks . Arckrock on board pulling engine oil 
samples .",2019-04-01__Arena Partner DPR.pdf
2019-04-01,12248,400,111,23,17,"Made visit to C-Platform . Accu-line wireline will be here sometime this morning to 
work on B1 Gaslift valves",2019-04-02__Arena Partner DPR.pdf
2019-04-02,12175,369,112,26,17,"Made crew change, Wireline working on B1 well.",2019-04-03__Arena Partner DPR.pdf
2019-04-03,12301,415,97,28,11,"No visit to HI547C due to weather, Wireline working on B1.",2019-04-04__Arena Partner DPR.pdf
2019-04-04,11935,353,115,27,11,"No visit to HI547c due to weather, Wireline done on B1, BOL B1 at 9am.",2019-04-05__Arena Partner DPR.pdf
2019-04-05,12453,409,108,26,11,"Made visit to HI547C, Back loaded wire line & equipment, Testing B1.",2019-04-06__Arena Partner DPR.pdf
2019-04-06,12372,413,114,28,11,"Made visit to HI547C, Got B1 in test",2019-04-07__Arena Partner DPR.pdf
2019-04-07,12343,380,104,27,11,"No visit to HI547C, Changed out potable H20 pump, Did monthly testing at HI547B.",2019-04-08__Arena Partner DPR.pdf
2019-04-08,12212,390,102,28,15,"Made visit to HI547C, Unloaded boat & back loaded, mechanic came look at crane 
engine.",2019-04-09__Arena Partner DPR.pdf
2019-04-09,11954,383,92,27,15,"Made visit to HI547C, Did pilots & level testing at HI547C.",2019-04-10__Arena Partner DPR.pdf
2019-04-10,11750,380,105,27,11,"Made visit to HI547C, Went thru rotating equipment filter list.",2019-04-11__Arena Partner DPR.pdf
2019-04-11,11844,380,102,26,11,"Made visit to HI547C, Moores pump here working on pipeline pumps.",2019-04-12__Arena Partner DPR.pdf
2019-04-12,12101,380,82,26,11,"No visit to HI547C due to weather, found oil leak on gas generator waiting on 
mechanic.",2019-04-13__Arena Partner DPR.pdf
2019-04-13,11890,376,85,28,11,"No visit to HI547C, Changed racor filter on diesel generator.",2019-04-14__Arena Partner DPR.pdf
2019-04-14,11917,374,81,27,11,"Made visit to HI547C, Tested C1 Scssv held good. Mechanic changed seal on gas 
generator, Waiting on plungers for pipeline pump.",2019-04-15__Arena Partner DPR.pdf
2019-04-15,11859,398,101,27,11,Made visit to HI547C.  Moores changed plungers on pipeline pumps.,2019-04-16__Arena Partner DPR.pdf
2019-04-16,1715,63,52,9,2,"Made visit to HI 547
C 
4/1/19
 
New SITP on C 1
 
5705#
Bled C 2 intermediat casing down started at
1525# did bled down,diagnostic to
3# ,
got 110 gallons fluid, running 24 hr build up on casing. started build up at
12:35
pm
opend p C 1 SCSSV got new SITP, closed & bled down, test good
Did monthly ESD, holding check, C 2 SSV did not hold, Valve man & parts came out
today to repair.
Tested C 2 SCSSV, tested good",2019-04-17__Arena Partner DPR.pdf
2019-04-17,9121,219,97,18,9,"Made visit to HIA547C , Danos arrived to make repairs to SSV at C-platform on C-2 
well . Tested and held , Currently BOL . Linare on location Swapping out plug on 
freezer outside",2019-04-18__Arena Partner DPR.pdf
2019-04-18,12145,419,113,23,12,Made visit to C-platform . normal ops due to weather . Moved Linear to EC328.,2019-04-19__Arena Partner DPR.pdf
2019-04-19,11912,373,111,22,12,Made visit to C-Platform.  Odyssea valor will be here sometime today .,2019-04-20__Arena Partner DPR.pdf
2019-04-21,12075,386,80,22,12,"Made visit to C-platform , SSI on location working on setting up equip. to replacing 
gear box ( Capsule is currently OOS)",2019-04-22__Arena Partner DPR.pdf
2019-04-22,11931,383,103,22,11,"Made visit to C-platform - SSI on location working on swapping out capsule gearbox 
( Capsule OOS). Also panther is on location doing oil proving .",2019-04-23__Arena Partner DPR.pdf
2019-04-23,11799,258,110,22,12,"Made visit to C-platform . SSI on location finishing up paperwork on Capsual . The 
capsule currently in service . Call panther and they told us we sold 719bbls/d . 
Talked to derek about meter problem and he will line up tech to come out to work 
on meter #1 . Also we will be LOTO meter #2 till tech comes out to check problem. 
we will stay on meter #1 till then",2019-04-24__Arena Partner DPR.pdf
2019-04-24,11732,294,109,23,11,"Made visit to C-platform .  Seatrax on Board working on Crane quarterly for B & C 
Platform's . Also linear on board checking light throughout platform to make sure 
there all working.",2019-04-25__Arena Partner DPR.pdf
2019-04-25,11786,397,105,22,11,"Made visit to C-Platform . Seatrax on location working on finishing up crane 
quarterly inspection paperwork for C and B platforms",2019-04-26__Arena Partner DPR.pdf
2019-04-27,11687,391,103,22,11,"M/V GIS Linda arrived this morning with groceries and supplies . Made visit to C-
platform",2019-04-28__Arena Partner DPR.pdf
2019-04-28,11758,394,114,22,11,Made Visit to C-platform .  Linear lined up to come and change voltage regulators .,2019-04-29__Arena Partner DPR.pdf
2019-04-29,11764,367,105,21,11,Made visit to C-Platform . Linear on location intalling solar panel voltage regulators .,2019-04-30__Arena Partner DPR.pdf
2019-04-30,11686,364,103,22,11,"Made visit to C-Platform . Construction arrived today but was unable to offload 
personnel due to seas",2019-05-01__Arena Partner DPR.pdf
2019-05-01,12021,381,172,27,11,"Made visit to HI547C, Made crew change.",2019-05-02__Arena Partner DPR.pdf
2019-05-02,11877,349,84,27,11,"Made visit to HI547C, Blasting crew arrived, Started unloading boat, Had trouble 
with gas panel stayed up all night monitoring, Made notification to BSEE.",2019-05-03__Arena Partner DPR.pdf
2019-05-03,11709,350,75,27,11,"Made visit to HI547C, Blasting crew here rigging up, Unloaded boat & took on H20, 
ESSI working on gas panel issue, Arena 51 damaged due to storm this morning, had 
1 hour down at HI547B due to gas detector panel shunt tripping platform.",2019-05-04__Arena Partner DPR.pdf
2019-05-04,11644,327,85,26,10,"No visit to HI 547
C due to helicopter damage, Helideck out of service, Blasters 
rigging up, ESSI completed repairs on gas detector system, BSEE has been notified of 
Gas detector repairs,
Had conference call about recovery of Arena 51 .",2019-05-05__Arena Partner DPR.pdf
2019-05-05,11471,385,79,26,10,"Made visit to HI 547-C, Loaded Arena 51 helicopter on boat and sent to the beach, 
Heliport back in service, Blasters are blasting.",2019-05-06__Arena Partner DPR.pdf
2019-05-06,11702,345,83,26,10,"Made visit to HI 547C, Blasters working on Genesis piping, Changed LSH on comp 
2nd stage scrubber, Tested B2.",2019-05-07__Arena Partner DPR.pdf
2019-05-07,11731,329,81,27,10,"No visit to HI547C due to weather, Sent in Blast crew on boat.",2019-05-08__Arena Partner DPR.pdf
2019-05-08,11668,0,59,25,0,"Made visit to HI 547C, Installed starter solenoid on capsule starter, Capsule back in 
service.",2019-05-09__Arena Partner DPR.pdf
2019-05-09,11710,368,83,26,7,"Made visit to HI547C, Did holding checks & downhole test on B2.",2019-05-10__Arena Partner DPR.pdf
2019-05-10,11779,354,80,27,7,"Made visit to HI 547C,  Changed coupling on number 1 LACT charge pump, Changed 
belt on crane, Changed battery in life capsule.",2019-05-11__Arena Partner DPR.pdf
2019-05-11,11618,357,46,26,7,"Made visit to HI 547C, Ordered new CO2 bottles and hoses for snuffing unit.",2019-05-12__Arena Partner DPR.pdf
2019-05-12,11547,344,77,27,4,"Made visit to HI-547-C platform. Blasters and Painters are back on location. 
Offloaded grociers and cargo off the M/V Odysea Valor.",2019-05-13__Arena Partner DPR.pdf
2019-05-13,11492,353,83,27,4,"Made visit to HI-547-C platform. Blasters and Painters are working on Genesis 
Pipeline. AMI working on meters.",2019-05-14__Arena Partner DPR.pdf
2019-05-14,11745,326,81,23,4,"Made isit to C-Platform . Blasters and painters working on genesis gas pipeline and 
AMI is currently swapping out barrels meter counter on #2 run . Danos on board 
working on Crane engine .",2019-05-15__Arena Partner DPR.pdf
2019-05-16,11463,323,90,21,4,"Made visit to C-platform .  painting and blasting currently working on Genesis Gas 
pipeline .
put B 1 in test today .",2019-05-17__Arena Partner DPR.pdf
2019-05-17,11017,334,86,20,3,"Made visit to C-Platform . Complete holding checks at C-platform . Painting and 
blasting finishing up Genesis gas pipeline .",2019-05-18__Arena Partner DPR.pdf
2019-05-18,11304,344,87,21,4,"Unable to make isit to C-platform due to weather . paint and blasting setting up on 
top deck",2019-05-19__Arena Partner DPR.pdf
2019-05-19,11481,336,94,20,4,"paint and blasting on board blasting top deck. M/V odyssea valor arrived with 
groceries and supplies today.",2019-05-20__Arena Partner DPR.pdf
2019-05-20,11245,340,103,21,4,"Unable to make visit to C-Platform due to weather . Panther called to reschedule 
due to weather . painting and blasting currently blasting top deck around heater 
treater .",2019-05-21__Arena Partner DPR.pdf
2019-05-21,11294,332,84,21,4,"Made visit to C-platform . paint and blasting on top deck blasting around crane . 
Also AMI swapped out 207 counter on oil lact #2 run .",2019-05-22__Arena Partner DPR.pdf
2019-05-22,11325,363,86,21,4,"Made visit to C-Platform . paint crew currently blasting top deck around wet and 
dry oil tank deck.",2019-05-23__Arena Partner DPR.pdf
2019-05-23,11504,340,99,21,4,"Made visit to C-platfrom . Genesis called and will be here to calibrate Gas meters 
.Also paint and blasting on board blasting by tool building .",2019-05-24__Arena Partner DPR.pdf
2019-05-24,11527,361,99,20,4,"Made visit to C-platform . Seatrax currently at C-platform getting measurements on 
crane . Also Genesis finished up onthly gas calibration .",2019-05-25__Arena Partner DPR.pdf
2019-05-25,11511,381,102,21,4,"Made visit to C-platform - paint and blasting on board blasting around tool building 
. Used Crane to move paint and blasting equipment around top deck . Also 
offloaded sand bags off M/V Odyssea valor .",2019-05-26__Arena Partner DPR.pdf
2019-05-26,11512,329,91,20,4,"Made visit to C-platform . ALR arrived todat to work on A/C unit . Paint and blasting 
on board blasting by Tool building .",2019-05-27__Arena Partner DPR.pdf
2019-05-27,11385,271,90,20,4,"made visit to C-platform . Paint and Blasting on board currently blasting  by 
compressor . OAR checking  correct fan pitch and trouble shooting why A/C not 
cooling properly . we currently have a new starter ordered for capsule . AMID 
arrived today to do oil proving .Oil Numbers down due to holding oil back for 
proving",2019-05-28__Arena Partner DPR.pdf
2019-05-28,11250,341,110,26,4,"Made visit to HI547C, Blasting & painting on the top deck.",2019-05-29__Arena Partner DPR.pdf
2019-05-30,10755,276,105,25,7,"Made visit to HI 547-C, Blasters and Painters went in, Construction came out and 
working on C-Platform prep work for drilling rig.",2019-05-31__Arena Partner DPR.pdf
2019-06-01,11391,286,123,27,3,"Made visit to HI547C, Seatrax got the main winch ready to be pulled by rig.",2019-06-02__Arena Partner DPR.pdf
2019-06-02,11204,318,119,26,3,"made visit to HI547C, Waiting on rig for HI547C C1.",2019-06-03__Arena Partner DPR.pdf
2019-06-03,11499,328,122,25,3,"Made visit to HI547C, Sent construction & Seatrax in to ICY, Did monthly ESD & well 
holding checks.",2019-06-04__Arena Partner DPR.pdf
2019-06-04,11453,354,108,26,3,Made visit to HI547C,2019-06-05__Arena Partner DPR.pdf
2019-06-05,10971,342,109,25,3,"No visit to HI 547
C due to weather.",2019-06-06__Arena Partner DPR.pdf
2019-06-06,11303,327,83,27,3,No visit to C-Platform due to weather.,2019-06-07__Arena Partner DPR.pdf
2019-06-07,11232,354,95,28,7,"Made visit to HI547C, Compressor went down on high engine coolant temp H20 
pump belts broke, replaced belts BOL platform, unloaded boat & took on H20.",2019-06-08__Arena Partner DPR.pdf
2019-06-08,11056,342,105,27,7,"made visit to HI547C, Construction here waiting on rig, Lined up ESSI tech to fix gas 
generator issue.",2019-06-09__Arena Partner DPR.pdf
2019-06-09,11255,346,181,26,7,"Made visit to C-Platform, Constrution still here waiting on  rig and ESSI Tech fixed 
gas generator issue.Paloma",2019-06-10__Arena Partner DPR.pdf
2019-06-10,3715,120,59,18,3,"made visit to HI547C, Rigged arrived last night, Shut in HI547C at 6:30pm, Sent crew 
to HI547C to cut off crane & install header valve.",2019-06-11__Arena Partner DPR.pdf
2019-06-11,0,0,0,0,0,"Made visit to HI547C, Construction installed the header valves at HI547C & is 
working on removing crane, Rig is on location.",2019-06-12__Arena Partner DPR.pdf
2019-06-12,0,0,0,0,0,"Made visit to HI547C Rig on location, finished removing crain at HI547C, Rig finished 
skiding over at midnight, construction replaced spool-piece and piping on float cell 
at HI47B, sent in construction and sea-trax to EPS Cameron.",2019-06-13__Arena Partner DPR.pdf
2019-06-13,0,0,0,0,0,"Made visit to HI547 rig on location, will be rigging up BOP's on C-1 today had to 
remove tree couldnt get wireline past tool past steam on ssv may have to get valve 
man out to look at and make repairs.",2019-06-14__Arena Partner DPR.pdf
2019-06-14,0,0,0,0,0,"Made visit to HI 547
C rig on location
Bop test faild began new test",2019-06-15__Arena Partner DPR.pdf
2019-06-15,5132,161,56,14,3,"Made visit to HI 547
C rig on location
brought C- 1 online at
11:00
pm
rig is pulling tubbing on C- 1 well",2019-06-16__Arena Partner DPR.pdf
2019-06-17,11641,369,80,22,7,"Made visit to HI 547
C rig on location
Rig trying to hook on to packer",2019-06-18__Arena Partner DPR.pdf
2019-06-18,11685,369,83,22,7,"Made visit to HI 547
C rig on location 
rig still trying to hook on to packer",2019-06-19__Arena Partner DPR.pdf
2019-06-19,11562,348,98,22,7,"Made visit to HI 47
c rig on location 
rig milling on the packer 
AMI did monthly meter and gas calibration at HI- 547
B and HI- 547
C
H.I.S. did quarterlys at HI- 547
B and HI- 547
C
Panther came out and proved Lact Meters",2019-06-20__Arena Partner DPR.pdf
2019-06-20,11453,334,105,22,11,"Made visit to HI 547
C rig on location
rig milling on packer",2019-06-21__Arena Partner DPR.pdf
2019-06-21,11541,339,106,22,22,"made visit o HI 547
C rig on location
rig milling on packer",2019-06-22__Arena Partner DPR.pdf
2019-06-22,11531,349,107,22,34,"Made visit to HI 547
C rig on location
Rig milling packer 
Versa UTing piping at HI 547
C",2019-06-23__Arena Partner DPR.pdf
2019-06-23,11393,352,105,22,60,"Made visit to HI 547
C rig on location
Rig milling packer",2019-06-24__Arena Partner DPR.pdf
2019-06-25,11149,335,103,26,82,"made crew change, made visit to HI547C rig on location.",2019-06-26__Arena Partner DPR.pdf
2019-06-26,10946,334,103,27,16,"Made visit to HI547C, Blasters working on top deck, Danos working on annual PSV 
inspection.",2019-06-27__Arena Partner DPR.pdf
2019-06-27,10940,340,107,25,16,"Made visit to HI547C rig on location, blasters working on top deck, had FWP go out 
making loud noide and vibration will pull today, Danos completed all the PSV's at 
HI547B all left is F/A inspection once3 we get the work basket.",2019-06-28__Arena Partner DPR.pdf
2019-06-28,11000,347,173,25,16,"Made visit to HI547C, Rig on location, Working on pulling fire water pump, Danos 
completed PSV testing HI547C",2019-06-29__Arena Partner DPR.pdf
2019-06-29,11109,322,108,27,13,"Made visit to HI547C rig on location, Blasters working on top deck, pulled some pipe 
and pump shaft out the FWP casing.",2019-06-30__Arena Partner DPR.pdf
2019-06-30,10988,328,102,26,13,"Made visit to HI 547
B rig on location, Blasters still on top deck.",2019-07-01__Arena Partner DPR.pdf
2019-07-01,10986,336,99,25,13,"Made visit to HI547C rig on location, Blasters still on top deck.",2019-07-02__Arena Partner DPR.pdf
2019-07-03,11042,397,100,25,10,"Made visit to HI547C rig on location, tested levels, painters started putting down 
rust bond coat.",2019-07-04__Arena Partner DPR.pdf
2019-07-04,10521,313,99,27,10,"Made visit to HI547C rig on location, HI547C shut in at 8am due to rig doing 
hotwork on their heliport and burnt hole in the ead line which shut in the platform, 
Painters working on top deck laying down deck coat, Unloaded boat & unpacked 
groceries",2019-07-05__Arena Partner DPR.pdf
2019-07-05,9673,297,99,26,9,"Made visit to HI547C rig on location, Ran pig from HI547C",2019-07-06__Arena Partner DPR.pdf
2019-07-06,10783,306,104,27,10,"Made visit to HI547C rig on location, ran pig, Painters still on top deck.",2019-07-07__Arena Partner DPR.pdf
2019-07-07,9503,291,101,26,8,"Made visit to HI547C rig on location, painters still on top deck, Hi547C did ESD & 
holding check on C2 SSV didn't hold lined up valve tech & parts to repair.",2019-07-08__Arena Partner DPR.pdf
2019-07-08,128,8,9,3,0,"Made visit to HI547C rig on location, Painters still working on top deck, Moores 
pump out to pull FWP piping out hole waiting on air tugger & hook to pull, Bureau 
Veritas here doing benezene survey, waiting on C2 SSV to be repaired.",2019-07-09__Arena Partner DPR.pdf
2019-07-09,8600,263,100,24,8,"Made visit to HI547C rig on location, Painters working on top deck, Pulled FWP out 
of casing.",2019-07-10__Arena Partner DPR.pdf
2019-07-21,11120,324,83,22,27,"Made visit to HI 547
C operators n rig
C 2 online
Rig ravel packing
Paint crew working on top deck
Seatrax did quarterly on HI 547
B crane
offloaded and back loaded boats",2019-07-22__Arena Partner DPR.pdf
2019-07-22,10902,388,97,23,27,"Made visit to HI 547
C Operators on rig
Rig gravel packing
Offloaded and back loaded platform
Electrition worked on GAI-Tronics around platform
Paint crew working on top deck
Put B- 4 in test at
9:00 am",2019-07-23__Arena Partner DPR.pdf
2019-07-23,10743,315,81,23,27,"Made visit to HI 547
C operators on rig
C- 2 online
Treater burner back in service 
paint crew painting top deck
preparing for crew change",2019-07-24__Arena Partner DPR.pdf
2019-07-25,10994,368,122,26,10,"Rig on location at HI547C, Sent in 3 painters, Electrician got gas generator BOL,",2019-07-26__Arena Partner DPR.pdf
2019-07-26,5036,130,90,23,6,"Rig on location at HI547C, Sent in the last 2 painters, Shut in HI547C at 7:30pm for 
rig to nipple down, Shut in HI547B at 8am to tighten up flange & do oil change.",2019-07-27__Arena Partner DPR.pdf
2019-07-27,357,17,18,6,0,"Rig on location at HI547C, Finished oil & filter change on compressor, Flowed 
HI547C 1 hour.",2019-07-28__Arena Partner DPR.pdf
2019-07-28,0,0,0,0,0,"Rig on location at HI47C, Construction fixing crane pedestile,",2019-07-29__Arena Partner DPR.pdf
2019-07-30,0,0,0,0,0,"Rig on location at HI547C, Construction working on crane at HI547C, BSEE onboard 
to continue annual Inspection",2019-07-31__Arena Partner DPR.pdf
2019-07-31,0,0,0,0,0,"Rig off HI547C, Jacked down and waiting on tug boats, Sea trax trying to get the 
crane engine started.",2019-08-01__Arena Partner DPR.pdf
2019-08-01,8093,298,85,25,8,"Rig left HI547C, Getting C1 ready to flow, Seatrax waiting on scaffold builder.",2019-08-02__Arena Partner DPR.pdf
2019-08-03,11179,369,112,27,12,"Tried to do load test on crane at HI547C had some issues will go back, Sent MV 
Sapphire to Verm 342 to get SDA panel that was left on rig.",2019-08-04__Arena Partner DPR.pdf
